Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
"RL","Land Use","190","Saint Pierre and Miquelon","5110","Area","6610","Agricultural land","1000 ha","2.85","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","191","Saint Vincent and the Grenadines","5110","Area","6610","Agricultural land","1000 ha","9.35","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","244","Samoa","5110","Area","6610","Agricultural land","1000 ha","60.14","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","192","San Marino","5110","Area","6610","Agricultural land","1000 ha","1.11","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","193","Sao Tome and Principe","5110","Area","6610","Agricultural land","1000 ha","41.39","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","194","Saudi Arabia","5110","Area","6610","Agricultural land","1000 ha","127643.43","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","195","Senegal","5110","Area","6610","Agricultural land","1000 ha","8866.14","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","272","Serbia","5110","Area","6610","Agricultural land","1000 ha","3506.11","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","186","Serbia and Montenegro","5110","Area","6610","Agricultural land","1000 ha","5892.64","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","196","Seychelles","5110","Area","6610","Agricultural land","1000 ha","4.14","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","197","Sierra Leone","5110","Area","6610","Agricultural land","1000 ha","3073.29","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","200","Singapore","5110","Area","6610","Agricultural land","1000 ha","4.89","A","Aggregate, may include official, semi-official, estimated or calculated data"
